a,b,kind,n_a,n_b,mean_a,mean_b,diff,p_TOST_d02,equiv_d02,p_TOST_abs,equiv_abs
M1,M4,middle,132,324,0.3424,0.3228,0.0196,0.10504474888262098,False,0.17209950941023597,False
M1,M5,middle,132,59,0.3424,0.3678,-0.0254,0.22413813113880915,False,0.29422907554707783,False
M1,M6,middle,132,396,0.3424,0.2606,0.0818,0.7744983047186303,False,0.8629932943013323,False
M1,Noise,middle,132,685,0.3424,0.3057,0.0367,0.21007791979801876,False,0.3221298520281943,False
M1,mixed_dwa,middle,132,96,0.3424,0.2823,0.0601,0.5023053040188152,False,0.5993774717306741,False
M4,M5,middle,324,59,0.3228,0.3678,-0.045,0.366228915335327,False,0.4540730316597554,False
M4,M6,middle,324,396,0.3228,0.2606,0.0622,0.5414247367642271,False,0.7072284001712326,False
M4,Noise,middle,324,685,0.3228,0.3057,0.0171,0.019512373693544846,True,0.05629089859046709,False
M4,mixed_dwa,middle,324,96,0.3228,0.2823,0.0405,0.2968475394724445,False,0.3971983923591865,False
M5,M6,middle,59,396,0.3678,0.2606,0.1072,0.884011472316105,False,0.9257682578386754,False
M5,Noise,middle,59,685,0.3678,0.3057,0.0621,0.521576246965063,False,0.616860331169745,False
M5,mixed_dwa,middle,59,96,0.3678,0.2823,0.0855,0.7044315064275919,False,0.7717328242971726,False
M6,Noise,middle,396,685,0.2606,0.3057,-0.0451,0.21441753014625023,False,0.39649416947740757,False
M6,mixed_dwa,middle,396,96,0.2606,0.2823,-0.0217,0.12219854211766633,False,0.19413278317862498,False
Noise,mixed_dwa,middle,685,96,0.3057,0.2823,0.0234,0.13409375525180553,False,0.20981623893756726,False
M2,M7,extreme_sanity,170,99,0.0535,0.499,-0.4455,1.0,False,1.0,False
